name,nodes,edges,density,limit,has_leafs,int_only
be2500.2,2501,311724,0.09971179528188724,23.217,False,True
be2500.3,2501,311326,0.0995844862055178,23.637,False,True
be2500.4,2501,311694,0.09970219912035186,23.510,False,True
be2500.5,2501,311862,0.09975593762495003,23.158,False,True
be2500.6,2501,311205,0.09954578168732507,23.241,False,True
be2500.7,2501,312496,0.09995873650539784,22.980,False,True
be2500.8,2501,311577,0.09966477409036385,22.992,False,True
be2500.9,2501,312240,0.09987684926029589,23.211,False,True
be50.1,51,158,0.12392156862745098,0.006,False,True
be50.10,51,158,0.12392156862745098,0.006,False,True
be50.2,51,170,0.13333333333333333,0.007,True,True
be50.3,51,182,0.14274509803921567,0.007,False,True
be50.4,51,161,0.12627450980392158,0.006,True,True
be50.5,51,181,0.1419607843137255,0.007,False,True
be50.6,51,151,0.11843137254901961,0.007,True,True
be50.7,51,174,0.13647058823529412,0.007,False,True
be50.8,51,187,0.14666666666666667,0.007,False,True
be50.9,51,172,0.1349019607843137,0.007,False,True
be500.1,501,12872,0.10277045908183632,0.624,False,True
be500.10,501,12908,0.10305788423153693,0.640,False,True
be500.2,501,12778,0.10201996007984032,0.624,False,True
be500.3,501,13022,0.10396806387225549,0.641,False,True
be500.4,501,12780,0.10203592814371258,0.626,False,True
be500.5,501,12830,0.10243512974051897,0.620,False,True
be500.6,501,12818,0.10233932135728543,0.620,False,True
be500.7,501,12907,0.1030499001996008,0.616,False,True
be500.8,501,12776,0.10200399201596806,0.633,False,True
be500.9,501,12858,0.10265868263473053,0.622,False,True
culberson1,4456,19594,0.0019740593648433264,16.404,False,False
culberson10,4457,11517,0.0011597958388736738,14.656,False,False
culberson100,4453,14501,0.0014629183834595492,15.446,False,False
culberson101,2638,6339,0.0018224928217243214,5.056,False,False
culberson102,2458,9074,0.0030049810359004826,0.139,False,False
culberson103,1406,6955,0.0070415048875434715,1.414,False,True
culberson104,1077,2258,0.0038969600949905598,0.873,False,False
culberson105,3361,10346,0.0018322919765942675,8.083,False,False
culberson106,3237,7964,0.0015205826634483164,8.078,False,False
culberson107,4977,21941,0.001771896705552939,20.969,False,False
culberson108,4456,19594,0.0019740593648433264,16.776,False,True
culberson11,3152,7666,0.0015437046010693567,7.626,False,False
culberson12,3152,7666,0.0015437046010693567,5.441,False,True
culberson13,3639,3429873,0.5181592850406105,152.736,False,True
culberson14,4220,9330,0.0010480684872878167,9.269,False,True
culberson15,4878,21716,0.0018256405652020433,21.042,False,False
culberson16,2767,16834,0.004399020477108447,7.083,False,False
culberson17,2767,16834,0.004399020477108447,5.781,False,False
culberson18,2106,24504,0.011054943121451435,5.290,False,False
culberson19,1203,3102,0.004290438628885358,0.870,False,True
culberson2,3048,7419,0.0015976731986283139,7.003,False,False
culberson20,4438,14301,0.0014525118216545836,11.555,False,True
culberson21,4332,18950,0.0020200521354669346,16.437,False,False
culberson22,3732,25386,0.0036463418943224447,10.968,False,False
culberson23,4748,34309,0.003044444866433622,24.322,False,False
culberson24,3105,12136,0.0025183857097797035,7.696,False,True
culberson25,2000,3956,0.0019789894947473737,3.016,False,False
culberson26,4997,11279,0.0009035845846979765,18.556,False,False
culberson27,3246,8065,0.001531338321338008,8.133,False,False
culberson28,1296,2438,0.002905286238619572,1.288,False,False
culberson29,1265,267102,0.3340946615299945,9.127,False,True
culberson3,1635,5717,0.004279848330020699,2.185,False,True
culberson30,4683,72643,0.006626255837527706,26.783,False,True
culberson31,2522,7385,0.0023230714496248954,4.924,False,True
culberson32,1583,3535,0.002823137428093851,1.889,False,False
culberson33,3983,12644,0.001594420687721914,11.977,False,False
culberson34,2217,12881,0.005243775942055889,3.558,False,True
culberson35,2854,34206,0.0084018813965604,9.644,False,False
culberson36,3656,7929,0.001186737989684704,9.903,False,False
culberson37,3361,10346,0.0018322919765942675,6.565,False,False
culberson38,3343,13807,0.0024716473036094787,0.204,False,False
culberson39,3054,9145,0.0019616334947900344,7.156,False,False
culberson4,2939,37233,0.008623958311860103,9.957,False,True
culberson40,4517,32304,0.0031672494795274933,16.320,False,False
culberson41,1015,2501,0.004860038281788945,0.620,False,False
culberson42,2332,27470,0.010106896899349729,6.425,False,False
culberson43,4563,11846,0.0011381407530195173,11.683,False,True
culberson44,2915,7045,0.0016587574505757382,4.614,False,False
culberson45,2854,34206,0.0084018813965604,9.229,False,True
culberson46,2957,170454,0.03900151151621597,11.695,False,True
culberson47,3935,280033,0.036179296382690504,41.546,False,True
culberson48,1843,19572,0.01153055579611913,2.911,False,False
culberson49,1290,300727,0.3617093955412825,9.284,False,False
culberson5,1175,75351,0.10924788865127406,3.808,False,False
culberson50,2903,37967,0.009013466190183733,10.021,False,False
culberson51,4457,19230,0.001936517667929213,16.469,False,False
culberson52,1583,3535,0.002823137428093851,1.924,False,False
culberson53,2915,7045,0.0016587574505757382,6.516,False,False
culberson54,1729,9501,0.006360050767945505,2.737,False,False
culberson55,3817,11797,0.0016198360089393748,10.840,False,True
culberson56,2965,4338923,0.9874361932851327,152.701,False,False
culberson57,2767,16834,0.004399020477108447,5.783,False,False
culberson58,2025,4079,0.0019904357585517007,3.041,False,False
culberson59,2217,12881,0.005243775942055889,3.557,False,True
culberson6,4563,11846,0.0011381407530195173,15.526,False,True
culberson60,4448,31517,0.0031867130536632083,20.223,False,False
culberson61,4448,31517,0.0031867130536632083,18.951,False,True
culberson62,1265,267102,0.3340946615299945,9.136,False,True
culberson63,2594,3082288,0.9164963139892974,61.065,False,False
culberson64,4231,18409,0.002057201350160612,14.982,False,False
culberson65,2447,4981,0.001664393899650514,4.281,False,False
culberson66,2157,1461044,0.6283395391283331,33.827,False,False
culberson67,3144,177229,0.03587053584078355,24.988,False,True
culberson68,4630,20238,0.00188855403557346,14.074,False,True
culberson69,3341,8181,0.0014662683014694945,8.326,False,False
culberson7,3773,9582,0.001346566087839055,10.423,False,False
culberson70,4457,19230,0.001936517667929213,14.648,False,False
culberson71,3113,19917,0.004111830560457556,7.453,False,False
culberson72,1025,2143,0.004083460365853659,0.606,False,True
culberson73,1296,2438,0.002905286238619572,0.940,False,True
culberson74,4767,12507,0.0011009914733241307,17.464,False,False
culberson75,1025,2143,0.004083460365853659,0.837,False,False
culberson76,3817,11797,0.0016198360089393748,10.975,False,True
culberson77,2669,5592,0.0015705897519580412,5.368,False,False
culberson78,3711,8034,0.0011670701440534116,9.656,False,True
culberson79,4300,11031,0.0011934630552264723,10.418,False,True
culberson8,4220,9330,0.0010480684872878167,9.235,False,True
culberson80,3054,9145,0.0019616334947900344,6.854,False,False
culberson81,2713,10662,0.0028982056241824844,6.162,False,False
culberson82,4457,11517,0.0011597958388736738,14.249,False,False
culberson83,2085,12117,0.0055772656347091235,4.298,False,True
culberson84,3711,8034,0.0011670701440534116,9.315,False,True
culberson85,4794,1979284,0.1722791224617391,141.600,False,False
culberson86,4448,31517,0.0031867130536632083,19.430,False,True
culberson87,4457,11517,0.0011597958388736738,14.692,False,True
culberson88,4457,11517,0.0011597958388736738,14.808,False,False
culberson89,4457,11517,0.0011597958388736738,14.242,False,False
culberson9,1915,4413,0.0024079818623799895,2.842,False,False
culberson90,3620,7796,0.0011901581432555925,9.288,False,True
culberson91,4683,72643,0.006626255837527706,26.986,False,False
culberson92,2718,2381667,0.6450181629686683,91.565,False,False
culberson93,4794,1979284,0.1722791224617391,118.362,False,True
culberson94,2190,23788,0.009924258069091828,5.631,False,False
culberson95,2771,130968,0.034125490022369386,11.372,False,True
culberson96,1077,2258,0.0038969600949905598,0.909,False,False
culberson97,3499,23474,0.0038357769785077856,11.466,False,False
culberson98,2866,2549138,0.6209012445363526,96.659,False,False
culberson99,2950,36286,0.008342040680265072,10.214,False,True
g000001,5588,4749800,0.30427778772149633,304.099,False,False
g000002,200,370,0.0185929648241206,0.052,False,True
g000003,1000,9990,0.02,0.996,False,True
g000004,150,3303,0.2955704697986577,0.078,False,True
g000005,640,960,0.004694835680751174,0.314,True,True
g000006,3031,5239,0.0011409059084727345,6.397,True,True
g000007,80,1580,0.5,0.029,False,True
g000008,1000,5800,0.011611611611611611,1.183,False,True
g000009,806,1612,0.004968944099378882,0.679,False,False
g000010,176,3973,0.257987012987013,0.088,False,True
g000011,1598,1750,0.0013714701297724223,1.699,True,True
g000012,852,55021,0.1517711833082317,2.384,False,False
g000013,100,297,0.06,0.015,True,True
g000014,1000,50000,0.1001001001001001,2.789,False,False
g000015,5345,9559404,0.6693398049551038,458.489,False,False
g000016,640,40896,0.2,1.447,False,True
g000017,1000,87326,0.17482682682682682,4.145,False,False
g000018,640,4135,0.020222026604068858,0.475,False,True
g000019,614,76024,0.4039725597929763,1.319,False,False
g000020,667,22011,0.0990990990990991,0.891,False,True
g000021,861,175644,0.4744186046511628,4.978,False,False
g000022,28,126,0.3333333333333333,0.003,False,True
g000023,100,4950,1.0,0.053,False,True
g000024,173,298,0.020029573867455304,0.023,True,True
g000025,80,160,0.05063291139240506,0.010,True,True
g000026,549,493,0.003277358967199819,0.276,True,False
g000027,2000,4000,0.002001000500250125,1.879,False,True
g000028,30,45,0.10344827586206896,0.002,False,True
g000029,640,1280,0.006259780907668232,0.353,True,True
g000030,770,148003,0.4999003597183051,2.715,False,False
g000031,4803,7933578,0.6879618397601873,454.279,False,False
g000032,1976,3836,0.001965868907907549,2.861,True,True
g000033,80,632,0.2,0.018,False,True
g000034,807,48420,0.1488833746898263,1.866,False,False
g000035,125,375,0.04838709677419355,0.016,False,True
g000036,40,240,0.3076923076923077,0.005,False,True
g000037,716,11456,0.044755244755244755,0.818,False,False
g000038,60,885,0.5,0.015,False,True
g000039,4186,7074,0.0008076075397253518,11.870,True,True
g000040,250,3218,0.10338955823293172,0.103,False,True
g000041,718,83286,0.3235626624398317,2.229,False,False
g000042,636,18561,0.09191799138315258,0.930,False,True
g000043,120,2064,0.28907563025210087,0.049,False,True
g000044,4617,9234,0.0008665511265164644,21.115,False,False
g000045,640,4135,0.020222026604068858,0.482,False,True
g000046,770,53900,0.18205461638491546,2.274,False,False
g000047,320,51040,1.0,0.592,False,True
g000048,640,1280,0.006259780907668232,0.356,True,True
g000049,2048,11264,0.00537371763556424,4.397,False,True
g000050,200,3927,0.19733668341708543,0.111,False,True
g000051,50,137,0.11183673469387755,0.005,False,True
g000052,3000,24065,0.005349560964766033,8.297,False,True
g000053,126,182,0.02311111111111111,0.017,True,True
g000054,640,4135,0.020222026604068858,0.482,False,True
g000055,43,44,0.048726467331118496,0.003,True,True
g000056,133,169,0.01925267714741399,0.017,True,True
g000057,3208,1478700,0.2874595550413023,31.423,False,False
g000059,29,203,0.5,0.003,False,True
g000060,618,164056,0.8604952452885609,3.721,False,False
g000061,80,632,0.2,0.018,False,True
g000062,1804,3311,0.0020359022225829577,2.240,True,True
g000063,311,579,0.012011202157452546,0.084,False,True
g000064,3852,29293,0.003949426630026644,12.787,True,False
g000065,640,40896,0.2,1.458,False,True
g000066,450,8260,0.08176194011383321,0.225,False,True
g000067,585,146206,0.8559068024821449,3.328,False,False
g000068,4221,7255,0.0008145910034570996,12.349,True,True
g000069,609,9582,0.051756546538760696,0.428,False,False
g000070,1000,200000,0.4004004004004004,7.390,False,False
g000071,2380,4760,0.0016813787305590584,5.670,False,False
g000072,8,12,0.42857142857142855,0.001,False,True
g000073,713,1426,0.0056179775280898875,0.303,False,True
g000074,5700,11400,0.0007018775223723461,32.026,False,False
g000075,2629,3793,0.0010979862243689835,4.765,True,True
g000076,506,23782,0.18613861386138614,0.835,False,False
g000077,599,104621,0.5841452588204421,2.559,False,False
g000078,3626,5869,0.0008930140555756319,9.153,True,True
g000079,5973,7681278,0.4306764902880107,402.518,False,False
g000080,400,3222,0.04037593984962406,0.199,False,True
g000081,859,73862,0.2004336369877697,2.549,False,False
g000082,109,133,0.02259599048589874,0.013,True,True
g000083,4916,5854956,0.48463886063072226,305.029,False,False
g000084,3,2,0.6666666666666666,0.001,True,True
g000086,671,61732,0.2746268656716418,1.993,False,True
g000087,38418,71657,9.710250144090303e-05,918.792,False,True
g000088,320,640,0.012539184952978056,0.095,True,True
g000089,4138,2097149,0.24500969863377953,105.827,False,True
g000090,1000,3000,0.006006006006006006,0.576,False,True
g000091,2500,3125,0.0010004001600640256,4.056,True,True
g000092,320,1845,0.03614811912225705,0.134,False,True
g000093,1644,442236,0.3274497869750457,19.149,False,False
g000094,80,120,0.0379746835443038,0.009,True,True
g000095,640,4135,0.020222026604068858,0.480,False,True
g000096,10,15,0.3333333333333333,0.001,False,True
g000097,157,266,0.021721378409276498,0.023,False,True
g000098,564,43146,0.27175843694493784,1.328,False,True
g000099,450,8263,0.08179163573372927,0.229,False,True
g000100,625,2341,0.012005128205128205,0.318,False,True
g000101,2048,11264,0.00537371763556424,4.395,False,True
g000102,150,8791,0.7866666666666666,0.160,False,True
g000103,2046,4092,0.0019559902200488996,2.341,False,True
g000104,640,1280,0.006259780907668232,0.339,True,True
g000105,2763,4038,0.0010582584650849398,5.289,True,True
g000106,2000,5934,0.0029684842421210606,3.156,False,False
g000107,6466,11046,0.0005284827363980643,28.298,True,True
g000108,5465,6962410,0.4663250366032211,460.439,False,False
g000109,2499,618227,0.19807026093063326,14.272,False,False
g000110,552,1131,0.007437070938215103,0.238,False,True
g000111,125,7666,0.9891612903225806,0.088,False,True
g000112,1024,5120,0.009775171065493646,1.101,False,True
g000113,3667,336595,0.05007653671121402,43.758,False,False
g000115,640,960,0.004694835680751174,0.326,True,True
g000116,143,184,0.018122722348074462,0.020,True,True
g000117,4000,32119,0.004015878969742435,14.659,False,True
g000118,6334,8283324,0.4129971908015766,635.732,False,False
g000119,100,4901,0.9901010101010101,0.081,False,True
g000120,6017,8059299,0.445286393781449,451.403,False,True
g000121,3683,6717,0.0009906490808879649,9.013,False,True
g000122,100,200,0.04040404040404041,0.013,True,True
g000123,587,97180,0.5650295655005204,2.416,False,False
g000124,55,55,0.037037037037037035,0.004,True,True
g000125,815,10595,0.03194103194103194,1.092,False,False
g000126,839,154224,0.4387084294577304,2.473,False,False
g000128,2518,4985,0.0015730995868286281,4.777,True,True
g000129,640,1280,0.006259780907668232,0.344,True,True
g000130,78,95,0.03163503163503163,0.007,True,True
g000131,860,118560,0.3209789641822563,2.856,False,False
g000132,800,6453,0.020190863579474343,0.683,False,True
g000133,8,21,0.75,0.001,False,True
g000134,8,14,0.5,0.001,False,True
g000135,80,3160,1.0,0.026,False,True
g000136,100,2475,0.5,0.048,False,True
g000137,120,2105,0.29481792717086835,0.049,False,True
g000138,200,19900,1.0,0.236,False,False
g000139,766,38300,0.13071895424836602,1.687,False,True
g000140,211,380,0.01715188445046265,0.044,False,True
g000141,64,192,0.09523809523809523,0.009,False,True
g000142,16,18,0.15,0.001,True,True
g000143,4990,3015093,0.24222371381367666,201.531,False,False
g000144,512,1536,0.011741682974559686,0.287,False,True
g000145,143,211,0.02078203486654191,0.022,True,True
g000146,160,2544,0.2,0.072,False,True
g000148,732,175339,0.6553601997413528,4.353,False,False
g000149,2500,12500,0.004001600640256103,5.316,False,True
g000150,160,812,0.06383647798742138,0.040,False,True
g000151,339,522,0.009111378750589098,0.100,True,True
g000152,843,112892,0.31809254923176195,1.979,False,True
g000153,2301,4602,0.0017391304347826088,4.891,False,False
g000154,80,316,0.1,0.011,False,True
g000155,188,238,0.013539651837524178,0.032,True,True
g000156,1000,34837,0.06974374374374374,2.576,False,False
g000157,93,127,0.029686769518466573,0.010,True,True
g000158,1331,19965,0.022556390977443608,1.349,False,True
g000159,2500,3125,0.0010004001600640256,4.140,True,True
g000160,672,176478,0.7827602725143709,3.643,False,True
g000161,50,100,0.08163265306122448,0.005,True,True
g000162,80,3160,1.0,0.026,False,True
g000163,117,151,0.022251694665487768,0.014,True,True
g000164,100,4901,0.9901010101010101,0.080,False,True
g000165,21,45,0.21428571428571427,0.002,False,True
g000166,339,579,0.010106299418756872,0.093,False,True
g000167,640,960,0.004694835680751174,0.336,True,True
g000168,678,1030,0.004487958763066278,0.311,True,True
g000169,113,142,0.022439949431099875,0.014,True,True
g000170,757,1493,0.005217616181949075,0.438,False,True
g000171,640,960,0.004694835680751174,0.318,True,True
g000172,500,12276,0.09840480961923848,0.537,False,True
g000173,627,17076,0.08701102159988994,0.790,False,True
g000174,500,625,0.00501002004008016,0.191,True,True
g000175,80,3160,1.0,0.030,False,True
g000176,320,480,0.009404388714733543,0.089,True,True
g000177,1244,2474,0.003199913082393235,1.211,True,True
g000178,5569,7028078,0.45330459770114945,367.788,False,False
g000179,2500,62500,0.020008003201280513,9.795,False,True
g000180,2048,11264,0.00537371763556424,4.398,False,True
g000182,125,750,0.0967741935483871,0.025,False,True
g000183,172,224,0.01523187814497484,0.028,True,True
g000184,5113,6513962,0.4984350547730829,413.644,False,False
g000185,45,270,0.2727272727272727,0.005,False,True
g000186,10,15,0.3333333333333333,0.001,False,True
g000187,591,86978,0.4988843958817288,1.655,False,True
g000188,2156,760607,0.327411766225157,32.946,False,False
g000189,701,101645,0.4142857142857143,2.826,False,False
g000190,112,147,0.02364864864864865,0.014,True,True
g000191,37,43,0.06456456456456457,0.003,True,True
g000192,125,375,0.04838709677419355,0.016,False,True
g000193,50,108,0.08816326530612245,0.005,False,True
g000194,342,552,0.00946648145289911,0.097,False,True
g000195,1348,276229,0.3042578408112103,9.321,False,False
g000196,26,130,0.4,0.003,False,True
g000197,80,120,0.0379746835443038,0.009,True,True
g000198,6579,3131376,0.1447143035199896,211.283,False,True
g000199,785,146392,0.4757311841934226,3.215,False,False
g000200,878,187014,0.48574686431014824,5.174,False,True
g000201,2744,8232,0.002187386073641998,4.038,False,True
g000202,80,1580,0.5,0.028,False,True
g000203,27,78,0.2222222222222222,0.003,False,True
g000204,904,1806,0.004424778761061947,0.588,False,True
g000205,7,21,1.0,0.001,False,False
g000206,151,216,0.019072847682119205,0.022,True,True
g000207,1000,5745,0.0115015015015015,1.095,False,True
g000208,5,5,0.5,0.001,True,True
g000209,90,3963,0.9895131086142323,0.046,False,True
g000210,1000,169832,0.340004004004004,4.910,False,True
g000211,6159,9096843,0.47970120168886005,470.243,False,False
g000212,6359,7706981,0.38124568364464845,428.426,False,False
g000213,160,2544,0.2,0.071,False,True
g000214,554,1448,0.009452869481201977,0.245,True,False
g000215,725,1450,0.0055248618784530384,0.497,False,False
g000216,320,480,0.009404388714733543,0.090,True,True
g000217,1835,2429,0.0014435176903716954,2.275,True,True
g000218,2000,11778,0.0058919459729864935,2.642,False,True
g000219,5268,3044855,0.219476247790897,211.593,False,True
g000220,570,808,0.004982579471525915,0.218,True,True
g000221,1400,11226,0.011463290105177167,1.930,False,True
g000222,5584,7774,0.000498725408231189,21.921,True,True
g000223,4615,6052,0.0005684334408303711,15.805,True,False
g000224,160,812,0.06383647798742138,0.040,False,True
g000225,100,2475,0.5,0.048,False,True
g000226,2263,899276,0.3513547621308147,46.261,False,False
g000227,600,4821,0.02682804674457429,0.415,False,True
g000228,2000,11766,0.0058859429714857425,2.006,False,True
g000230,2607,1248522,0.3675451975480148,30.542,False,False
g000232,1000,5909,0.01182982982982983,0.554,False,True
g000233,320,51040,1.0,0.443,False,True
g000234,5199,2433132,0.18006925740669488,201.520,False,False
g000235,580,17980,0.1070811744386874,0.873,False,True
g000236,80,160,0.05063291139240506,0.010,True,True
g000237,298,503,0.01136646103089056,0.078,False,True
g000238,64,288,0.14285714285714285,0.009,False,True
g000239,80,160,0.05063291139240506,0.010,True,True
g000241,100,2475,0.5,0.049,False,True
g000242,925,1738,0.0040669240669240665,0.678,True,True
g000243,953,379851,0.8373623321311736,9.238,False,False
g000244,160,320,0.025157232704402517,0.029,True,True
g000245,981,237728,0.4945557427864112,5.182,False,False
g000246,3250,2294500,0.43459526008002464,133.551,False,False
g000247,80,3160,1.0,0.026,False,True
g000248,29,203,0.5,0.003,False,True
g000249,1000,5772,0.011555555555555555,1.102,False,True
g000250,512,2304,0.01761252446183953,0.332,False,True
g000251,120,2120,0.2969187675070028,0.050,False,True
g000252,304,571,0.012397950321347924,0.076,True,True
g000253,80,3128,0.9898734177215189,0.050,False,True
g000254,1000,349788,0.7002762762762763,7.972,False,False
g000255,6405,10454,0.0005097321590087382,28.355,True,True
g000256,957,432165,0.9447344604609068,9.422,False,True
g000257,5180,7372101,0.5495985793533583,371.143,False,False
g000258,668,153816,0.690445196563395,3.631,False,True
g000259,100,4915,0.9929292929292929,0.074,False,True
g000260,640,204480,1.0,3.386,False,True
g000261,640,204480,1.0,2.868,False,True
g000262,2500,5000,0.001600640256102441,4.355,True,True
g000263,503,34819,0.27578750603946045,1.044,False,False
g000264,1000,1250,0.0025025025025025025,0.679,True,True
g000265,495,716,0.005856132171921645,0.207,True,False
g000266,120,5627,0.7880952380952381,0.099,False,True
g000267,512,2304,0.01761252446183953,0.324,False,True
g000268,750,1500,0.0053404539385847796,0.599,False,False
g000269,4859,6539,0.0005540346456783645,14.111,True,True
g000270,640,960,0.004694835680751174,0.317,True,True
g000271,200,1575,0.07914572864321608,0.062,False,True
g000272,128,227,0.02792814960629921,0.020,True,True
g000273,190,254,0.01414647730437204,0.031,True,True
g000274,800,1600,0.0050062578222778474,0.322,False,True
g000275,640,1280,0.006259780907668232,0.345,True,True
g000276,1326,65025,0.07402031930333818,2.550,False,True
g000277,640,4135,0.020222026604068858,0.472,False,True
g000278,2853,3335,0.0008197370057551191,5.304,True,True
g000279,80,316,0.1,0.011,False,True
g000280,24,32,0.11594202898550725,0.002,True,True
g000281,3792,327703,0.04559196386734293,47.485,False,False
g000282,684,993,0.004251110939867971,0.347,True,True
g000283,3364,406237,0.0718168938539743,36.585,False,False
g000284,777,1358,0.0045045045045045045,0.472,False,True
g000285,594,1188,0.006745362563237774,0.374,False,False
g000287,3880,7460357,0.9913753146070701,286.317,False,False
g000288,45,59,0.0595959595959596,0.004,True,True
g000289,400,800,0.010025062656641603,0.166,False,True
g000290,20,50,0.2631578947368421,0.002,False,True
g000291,775,1471,0.0049045594732016334,0.525,True,True
g000292,212,381,0.017034784941428956,0.042,False,True
g000293,4,3,0.5,0.001,True,True
g000294,47,1081,1.0,0.015,False,True
g000295,100,495,0.1,0.018,False,True
g000296,640,204480,1.0,2.303,False,True
g000297,1000,47073,0.09424024024024023,2.583,False,False
g000298,2326,1776330,0.6569328488613985,60.558,False,False
g000299,640,960,0.004694835680751174,0.309,True,True
g000300,160,219,0.01721698113207547,0.025,True,True
g000301,600,4831,0.026883695047301058,0.403,False,True
g000302,317,476,0.009503653715609153,0.080,True,True
g000303,640,40896,0.2,1.427,False,True
g000304,34,153,0.2727272727272727,0.004,False,True
g000305,2997,935064,0.2082777036048064,22.323,False,True
g000306,668,12712,0.05706128971442422,0.774,True,True
g000307,100,4906,0.9911111111111112,0.072,False,True
g000308,29,203,0.5,0.003,False,True
g000309,80,160,0.05063291139240506,0.009,True,True
g000310,47,236,0.2183163737280296,0.006,False,True
g000311,160,12720,1.0,0.158,False,True
g000312,6537,9300214,0.4353438453814077,469.249,False,True
g000313,533,59676,0.4209115659693323,1.419,False,False
g000314,80,120,0.0379746835443038,0.009,True,True
g000315,1000,299640,0.5998798798798799,7.846,False,False
g000316,188,235,0.013368983957219251,0.031,True,True
g000317,2039,3548,0.0017076238087422831,2.967,True,True
g000318,640,204480,1.0,3.401,False,True
g000319,1290,2270,0.002730317955749605,1.223,True,True
g000320,60,885,0.5,0.016,False,True
g000321,670,127516,0.5689757490574036,3.248,False,False
g000322,198,253,0.012972363226170333,0.036,True,True
g000323,968,233631,0.49918167289136545,4.982,False,False
g000324,29,203,0.5,0.003,False,True
g000325,22,70,0.30303030303030304,0.002,False,True
g000326,250,3147,0.10110843373493976,0.123,False,True
g000327,320,10208,0.2,0.309,False,True
g000328,746,45506,0.16375838926174496,2.049,False,False
g000329,160,240,0.018867924528301886,0.028,True,True
g000330,300,44850,1.0,0.464,False,True
g000331,774,898,0.0030018285080110046,0.514,True,False
g000332,656,1815,0.008448147458573823,0.367,True,False
g000333,200,15757,0.7918090452261306,0.302,False,True
g000334,480,670,0.005828114126652749,0.172,True,True
g000335,343,1029,0.017543859649122806,0.138,False,True
g000336,493,963,0.007940434373917775,0.187,True,True
g000337,2829,5658,0.0014144271570014145,7.649,False,False
g000338,8,22,0.7857142857142857,0.001,False,True
g000339,1000,25000,0.05005005005005005,1.783,False,True
g000340,157,3541,0.28915564265882737,0.082,False,True
g000341,670,210267,0.938210293822368,4.491,False,False
g000342,1820,35490,0.021440351841671246,5.045,False,False
g000343,895,169155,0.4228187919463087,4.968,False,False
g000344,60,885,0.5,0.015,False,True
g000345,100,2475,0.5,0.048,False,True
g000346,621,1242,0.0064516129032258064,0.407,False,True
g000347,278,478,0.012414617042827831,0.072,True,True
g000348,640,960,0.004694835680751174,0.321,True,True
g000349,640,1280,0.006259780907668232,0.350,True,True
g000350,625,2327,0.011933333333333334,0.345,False,True
g000351,596,824,0.0046472280187242684,0.267,True,True
g000352,800,4672,0.014618272841051314,0.472,False,True
g000353,500,12278,0.09842084168336673,0.541,False,True
g000354,3983,7108,0.0008963257077133316,10.830,True,True
